"","empty1 Ave. (mV)","empty2 Ave. (mV)","empty3 Ave. (mV)","empty4 Ave. (mV)","ostreatus1 Ave. (mV)","ostreatus2 Ave. (mV)","ostreatus3 Ave. (mV)","ostreatus4 Ave. (mV)"
"1678194171","5.56","-6.21","-0.87","16.28","-6.01","-68.98","-1.39","0.66"
"1678194231","4.41","-4.65","-0.91","15.70","-65.05","-62.72","-2.72","1.45"
"1678194291","3.36","-3.88","-0.55","15.61","-53.42","-58.52","-3.55","6.37"
"1678194351","3.03","-4.46","-0.30","15.47","-47.05","-57.12","-3.83","2.50"
"1678194411","2.89","-3.98","-0.37","15.65","-42.44","-55.09","-4.54","8.95"
"1678194471","2.77","-3.58","-0.24","15.59","-38.63","-53.84","-4.44","7.73"
"1678194531","2.67","-3.30","-0.12","15.49","-35.51","-53.10","-4.55","6.95"
"1678194591","2.61","-3.09","-0.04","15.47","-32.94","-52.41","-4.70","6.25"
"1678194651","3.09","-2.92","0.06","15.48","-30.25","-51.48","-4.43","5.73"
"1678194711","3.23","-2.78","0.11","15.48","-27.72","-50.96","-4.46","5.29"
"1678194771","3.04","-2.67","0.14","15.25","-26.02","-50.65","-4.61","4.86"
"1678194831","2.92","-2.54","0.18","14.74","-24.55","-50.17","-4.61","4.49"
"1678194891","2.83","-2.46","0.20","14.49","-23.30","-49.82","-4.02","4.29"
"1678194951","2.78","-2.38","0.22","14.46","-22.41","-49.43","-4.52","4.10"
"1678195011","2.77","-2.29","0.24","14.59","-21.46","-49.28","-4.45","3.95"
"1678195071","2.79","-2.20","0.26","14.59","-20.31","-48.71","-4.39","2.92"
"1678195131","2.76","-2.12","0.26","13.58","-19.55","-48.46","-4.53","2.97"
"1678195191","2.71","-2.08","0.28","14.09","-18.95","-48.36","-4.34","0.29"
"1678195251","2.63","-1.99","0.28","14.75","-18.60","-47.74","-4.26","3.52"
"1678195311","2.59","-1.90","0.30","15.25","-18.21","-47.27","-4.23","3.43"
"1678195371","2.58","-1.88","0.33","15.64","-17.97","-47.06","-4.01","-3.39"
"1678195431","2.54","-1.79","0.31","15.87","-17.75","-46.74","-4.20","0.04"
"1678195491","2.52","-1.72","0.31","16.00","-17.52","-46.28","-3.84","0.97"
"1678195551","2.49","-1.65","0.31","16.07","-17.37","-45.81","-4.27","1.38"
"1678195611","2.45","-1.59","0.31","15.92","-17.17","-45.33","-3.88","2.01"
"1678195671","2.40","-1.47","0.34","11.31","-16.91","-44.61","-4.40","1.64"
"1678195731","2.40","-1.38","0.34","10.86","-17.15","-44.13","-3.65","1.13"
"1678195791","2.43","-1.23","-0.14","14.53","-16.92","-43.35","-3.89","2.45"
"1678195851","2.40","-1.19","0.65","13.14","-16.69","-44.11","-3.88","0.75"
"1678195911","2.35","-1.13","0.40","5.02","-16.45","-43.21","-3.77","1.31"
"1678195971","1.97","-0.57","0.24","47.94","-16.13","-39.47","-4.75","1.62"
"1678196031","2.17","-0.83","0.55","21.23","-15.57","-39.27","-2.53","1.23"
"1678196091","2.23","-0.95","0.49","16.62","-15.85","-40.08","-3.77","1.19"
"1678196151","2.25","-0.93","0.45","16.08","-16.01","-40.25","-4.10","1.34"
"1678196211","2.32","-0.86","0.44","15.88","-16.03","-40.01","-4.22","1.34"
"1678196271","2.24","-0.87","0.44","15.79","-16.01","-39.79","-4.25","1.38"
"1678196331","2.22","-0.92","0.43","15.71","-15.91","-39.53","-4.13","1.35"
"1678196391","2.20","-0.89","0.43","15.81","-15.91","-39.16","-4.09","1.41"
"1678196451","2.20","-0.86","-0.15","15.65","-15.84","-38.83","-4.08","1.43"
"1678196511","2.18","-0.84","0.74","15.73","-15.78","-38.47","-4.06","1.43"
"1678196571","2.18","-0.82","0.68","15.74","-15.73","-38.15","-4.08","1.38"
"1678196631","2.16","-0.81","0.50","15.67","-15.68","-37.89","-4.12","1.43"
"1678196691","4.02","-1.58","-0.23","18.60","-19.97","-30.62","-2.47","2.61"
"1678196751","2.76","-2.56","-0.83","14.94","-15.32","-28.64","-4.51","1.53"
"1678196811","2.24","-1.60","0.83","14.21","-14.64","-29.35","-3.65","1.29"
"1678196871","2.25","-1.20","0.87","14.27","-14.39","-29.70","-3.91","1.43"
"1678196931","2.23","-1.33","0.70","14.34","-14.32","-29.85","-3.89","1.39"
"1678196991","2.20","-1.39","0.67","14.39","-14.29","-30.00","-3.28","1.28"
"1678197051","2.18","-1.35","0.57","14.40","-14.21","-29.88","-3.46","1.27"
"1678197111","2.20","-1.37","0.59","14.26","-14.21","-29.84","-3.02","1.32"
"1678197171","2.20","-1.30","0.53","14.33","-14.10","-29.65","-3.38","1.31"
"1678197231","2.20","-1.24","1.19","14.22","-13.95","-29.30","-3.32","1.28"
"1678197291","2.19","-1.24","3.22","14.03","-13.88","-28.97","-3.21","1.35"
"1678197351","2.20","-1.25","-0.84","14.25","-13.72","-28.83","-3.69","1.30"
"1678197411","2.22","-1.26","-0.66","14.23","-13.70","-28.84","-3.19","1.24"
"1678197471","2.19","-1.18","-1.78","13.94","-13.65","-28.54","-3.37","1.30"
"1678197531","2.23","-1.17","1.39","14.07","-13.54","-28.28","-3.03","1.28"
"1678197591","3.12","-1.28","0.52","14.98","-15.51","-24.99","-1.81","1.77"
"1678197651","2.62","-2.10","0.04","13.59","-13.23","-24.39","-3.43","1.24"
"1678197711","2.13","-1.76","0.49","13.09","-12.81","-24.60","-3.37","1.17"
"1678197771","2.17","-1.63","0.57","13.06","-12.68","-24.97","-3.10","1.11"
"1678197831","2.23","-1.63","0.56","13.09","-12.69","-24.85","-2.92","1.13"
"1678197891","2.26","-1.59","0.53","13.05","-12.61","-24.79","-2.98","1.11"
"1678197951","2.55","-1.59","0.50","13.05","-12.58","-24.54","-2.99","1.09"
"1678198011","2.55","-1.52","0.48","13.02","-12.58","-24.37","-2.90","1.09"
"1678198071","2.36","-1.49","0.47","12.99","-12.52","-24.38","-2.76","1.04"
"1678198131","2.38","-1.45","0.46","13.01","-12.50","-24.05","-2.92","1.06"
"1678198191","2.38","-1.42","0.45","12.92","-12.40","-23.90","-2.97","1.05"
"1678198251","2.38","-1.38","0.45","12.96","-12.39","-23.83","-2.59","1.06"
"1678198311","2.38","-1.34","0.45","12.90","-12.34","-23.73","-2.99","1.05"
"1678198371","2.40","-1.31","0.44","12.84","-12.28","-23.54","-2.95","1.05"
"1678198431","2.41","-1.29","0.44","12.78","-12.25","-23.55","-2.45","1.05"
"1678198491","2.63","-1.54","0.45","13.32","-13.28","-21.77","-2.38","1.46"
"1678198551","2.72","-1.74","0.21","12.44","-11.98","-21.07","-2.75","1.04"
"1678198611","2.38","-1.54","0.38","12.22","-11.73","-21.19","-2.63","1.01"
"1678198671","2.43","-1.49","0.45","12.20","-11.65","-21.55","-2.73","0.99"
"1678198731","2.46","-1.39","0.45","12.18","-11.62","-21.81","-2.67","0.97"
"1678198791","2.46","-1.36","-0.31","12.06","-11.55","-22.02","-2.51","0.96"
"1678198851","2.48","-1.34","1.22","12.13","-11.51","-21.72","-2.64","0.94"
"1678198911","2.51","-1.30","0.55","12.11","-11.51","-21.48","-2.58","0.97"
"1678198971","2.51","-1.27","0.50","12.04","-11.43","-21.53","-2.23","0.96"
"1678199031","2.51","-1.21","0.48","12.07","-11.40","-21.19","-2.25","0.92"
"1678199091","2.52","-1.19","0.44","11.98","-11.36","-21.32","-2.75","0.96"
"1678199151","2.54","-1.15","0.50","12.00","-11.31","-21.04","-2.47","0.95"
"1678199211","2.55","-1.12","0.46","11.93","-11.27","-21.08","-2.33","0.95"
"1678199271","2.58","-1.10","0.45","11.92","-11.18","-20.89","-2.65","0.93"
"1678199331","2.60","-1.09","0.46","11.84","-11.18","-20.95","-2.27","0.93"
"1678199391","2.72","-1.25","0.46","12.40","-12.15","-19.65","-1.82","1.29"
"1678199451","2.97","-1.56","0.17","11.45","-10.97","-18.57","-1.91","0.96"
"1678199511","2.45","-1.29","0.41","11.21","-10.52","-19.00","-1.57","0.90"
"1678199571","2.50","-1.24","0.45","11.22","-10.41","-19.21","-1.57","0.85"
"1678199631","2.52","-1.07","0.52","11.17","-10.39","-19.39","-1.78","0.80"
"1678199691","2.50","-0.97","0.52","11.22","-10.40","-19.38","-1.77","0.79"
"1678199751","2.51","-0.92","0.52","11.23","-10.40","-19.23","-1.80","0.77"
"1678199811","2.52","-0.87","0.51","11.19","-10.39","-19.31","-1.89","0.76"
"1678199871","2.52","-0.82","0.29","11.15","-10.38","-19.12","-1.85","0.73"
"1678199931","2.51","-0.78","0.48","11.22","-10.33","-19.13","-1.99","0.74"
"1678199991","2.51","-0.74","0.61","11.15","-10.31","-19.06","-1.87","0.74"
"1678200051","2.48","-0.68","-0.73","11.00","-10.29","-18.93","-1.82","0.73"
"1678200111","2.45","-0.64","-1.76","10.87","-10.20","-18.60","-1.83","0.74"
"1678200171","2.46","-0.61","-1.37","10.88","-10.13","-18.46","-1.87","0.72"
"1678200231","2.50","-0.62","3.31","11.25","-10.16","-18.81","-1.85","0.71"
"1678200291","2.58","-0.52","0.24","11.48","-10.93","-17.62","-1.44","0.94"
"1678200351","2.65","-0.59","1.38","10.86","-9.95","-17.55","-2.05","0.74"
"1678200411","2.38","-0.65","0.74","10.78","-9.83","-17.66","-1.64","0.76"
"1678200471","2.41","-0.68","0.77","10.70","-9.75","-17.77","-1.66","0.69"
"1678200531","2.42","-0.64","0.63","10.70","-9.73","-17.84","-1.70","0.65"
"1678200591","2.40","-0.62","-0.17","10.58","-9.69","-17.72","-1.46","0.66"
"1678200651","2.41","-0.62","0.67","10.67","-9.68","-17.75","-1.70","0.65"
"1678200711","2.38","-0.57","-0.69","10.48","-9.65","-17.56","-1.69","0.66"
"1678200771","2.39","-0.55","0.33","10.58","-9.64","-17.52","-2.05","0.63"
"1678200831","2.36","-0.50","-1.44","10.38","-9.58","-17.29","-1.87","0.63"
"1678200891","2.34","-0.49","-0.96","10.38","-9.52","-17.25","-1.42","0.66"
"1678200951","1.89","-0.47","-1.05","10.27","-9.47","-17.16","-1.57","0.65"
"1678201011","0.77","-0.44","-0.30","10.21","-9.42","-17.01","-1.57","0.65"
"1678201071","1.19","-0.41","-0.36","10.26","-9.39","-17.00","-1.82","0.62"
